,,,
R.Br,Pitanje,Poruka u slu?aju ?ekiranja ili izbora opcije DA,
 pitanja,,,
1.        ,Da li ste bolovali ili trenutno bolujete od:,,
1.1    ,"Malignih tumora, premaligne promene ili benignih tumora bilo koje lokalizacije",otpusna lista sa operacije (nalaz sa biopsije ili punkcije ) + definitivni PH nalaz + svi kontrolni nalazi nadležnog specijaliste,
1.2    ,"Bolesti srca i krvnih sudova (što podrazumeva i : povišen krvni pritisak, aritmija, tahikardija, uro?ene ili ste?ene sr?ane mane i slabosti, infarkt srca, angina pektoris, aneurizma arterija, ateroskleroza, proširene vene ili tromboza vena):",,
1.2.1          ,povišen krvni pritisak  ,izveštaj kardiologa sa EKG -om i navedenom terapijom ne stariji od 6 meseci i UZV srca,
1.2.2          ,aritmija,izveštaj kardiologa sa EKG-om i navedenom terapijom + o?itan nalaz EKG Holtera ne stariji od 6 meseci,
1.2.3          ,tahikardija ,izveštaj kardiologa sa EKG-om i navedenom terapijom + o?itan nalaz EKG Holtera ne stariji od 6 meseci,
1.2.4          ,uro?ene ili ste?ene sr?ane mane i slabosti,"otpusna lista sa bolni?kog le?enja, izveštaj kardiologa + UZV srca + navedena terapija",
1.2.5          ,infarkt srca ,otpusna lista sa bolni?kog le?enja + izveštaj kardiologa sa EKG-om + UZV srca,
1.2.6          ,angina pectoris ,otpusna lista sa bolni?kog le?enja + izveštaj kardiologa sa EKG-om + UZV srca,
1.2.7          ,aneurizma arterija,otpusna lista sa bolni?kog le?enja + izveštaj kardiologa sa EKG-om + UZV srca,
1.2.8          , ateroskeroza  ,izveštaj nadelžnog specijaliste,
1.2.9          ,proširene vene ,izveštaj vaskularnog hirurga sa navedenom terapijom + dopler krvnih sudova,
,,,
1.2.10      ,tromboza vena,izveštaj vaskularnog hirurga sa navedenom terapijom+ dopler krvnih sudova+ otpusna lista sa bolni?kog le?enja ,
1.3    ,"Bolesti metabolizma i endokrinološke bolesti (što podrazumeva i: še?erna bolest - dijabetes, poreme?aj metabolizma mokra?ne kiseline - giht, bolesti štitaste i nadbubrežne žlezde, bolesti hipofize)",,
1.3.1          ,še?erna bolest / dijabetes,izveštaj endokrinologa sa navedenom terapijom + lab ( ŠUK i HbA1c ) ne stariji od 6 meseci,
1.3.2          ,poreme?aj metabolizma mokra?ne kiseline/giht  ,izveštaj endokrinologa sa navedenom terapijom ne stariji od godinu dana.,
1.3.3          ,bolesti štitaste žlezde,"izveštaj endokrinologa sa navedenom terapijom + lab ( TSH, FT4)+ UZV štitaste žlezde ne stariji od godinu dana",
1.3.4          ,bolesti nadbubrežne žlezde ,izveštaj endokrinologa sa navedenom terapijom ne stariji od godinu dana + otpusna lista sa bolni?kog le?enja,
1.3.5          ,bolesti hipofize,izveštaj endokrinologa sa navedenom terapijom ne stariji od godinu dana + otpusna lista sa bolni?kog le?enja,
1.4    ,"Bolesti disajnog sistema (što podrazumeva i: hroni?ni bronhitis, hroni?nu opstruktivnu bolest plu?a, bronhijalnu astmu, emfizem, plu?na embolija, tuberkuloza)",,
,,,
1.4.1          ,hroni?ni bronhitis ,izveštaj pulmologa sa navedenom terapijom + spirometrija,
1.4.2          ,hroni?na opstruktivna bolest plu?a ( HOBP) ,izveštaj pulmologa sa navedenom terapijom + spirometrija,
1.4.3          ,astma,izveštaj pulmologa sa navedenom terapijom + spirometrija,
1.4.4          ,emfizem,izveštaj pulmologa sa navedenom terapijom + spirometrija,
1.4.5          ,plu?na embolija,otpusna lista sa bolni?kog le?enja+kontrolni izveštaji pulmologa sa navedenom terapijom,
1.4.6          ,tuberkuloza,otpusna lista sa bolni?kog le?enja + kontrolni izveštaj pulmologa sa navedenom terapijom,
1.5    ,"Bolesti uro-genitalnog sistema i dojke (što podrazumeva i: bolesti bubrega, mokra?nih kanala ili bešike, bolesti materice, jajnika, dojke, prostate, testisa)",,
1.5.1          ,bolesti bubrega  ,izveštaj urologa sa navedenom terapijom + UZV abdomena (bubrega)+lab+ otpusna lista sa bolni?kog le?enja,
1.5.2          ,bolesti mokra?nih kanala i bešike ,otpusna lista sa bolni?kog le?enja+ kontrolni izveštaj urologa sa navedenom terapijom + UZV abdomena ( bubrega i bešika ) + lab,
1.5.3          ,bolesti prostate,otpusna lista sa bolni?kog le?enja+ kontrolni izveštaj urologa sa navedenom terapijom + UZV abdomena ( prostata )+lab,
1.5.4          ,bolesti testisa ,otpusna lista sa bolni?kog le?enja + kontrolni izveštaj urologa sa navedenom terapijom + UZV testisa + lab,
